gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,some college,standard,none,75,85,79
male,group E,bachelor's degree,free/reduced,none,67,62,60
female,group A,associate's degree,standard,none,35,50,50
female,group C,some high school,standard,completed,70,79,79
male,group B,bachelor's degree,standard,completed,93,88,89
female,group C,some college,standard,completed,71,81,78
female,group C,some college,standard,completed,58,75,73
male,group C,associate's degree,free/reduced,none,63,58,62
female,group E,associate's degree,standard,none,87,80,80
male,group C,high school,standard,none,81,82,75
male,group C,high school,standard,none,66,63,58
male,group D,high school,free/reduced,completed,58,62,58
male,group C,associate's degree,free/reduced,none,62,63,52
male,group B,high school,standard,completed,57,46,45
male,group D,high school,standard,none,77,71,68
male,group C,some high school,standard,none,58,63,53
female,group A,bachelor's degree,standard,completed,64,74,78
female,group C,bachelor's degree,free/reduced,completed,73,93,88
male,group B,high school,standard,none,67,66,57
male,group E,associate's degree,free/reduced,none,86,86,88
male,group C,some college,standard,completed,66,63,69
female,group C,some high school,standard,completed,68,75,74
male,group A,bachelor's degree,standard,none,78,70,67
female,group D,high school,free/reduced,completed,65,79,83
female,group C,some high school,free/reduced,none,64,78,79
male,group C,some high school,standard,none,65,66,55
female,group B,some high school,standard,completed,47,47,53
female,group D,some high school,standard,none,50,55,61
male,group E,master's degree,free/reduced,none,60,56,44
female,group C,associate's degree,standard,none,54,56,57
male,group D,high school,standard,completed,51,47,48
male,group D,associate's degree,standard,none,61,49,53
female,group B,associate's degree,standard,none,77,82,82
female,group A,some high school,free/reduced,completed,57,60,66
male,group E,high school,standard,completed,66,65,55
female,group E,some college,standard,none,85,82,83
male,group D,associate's degree,standard,none,66,59,59
male,group C,some high school,free/reduced,none,47,44,37
male,group C,some high school,standard,completed,55,56,53
female,group E,some high school,free/reduced,none,75,76,76
male,group A,some high school,free/reduced,none,72,81,69
male,group D,associate's degree,free/reduced,none,74,68,70
male,group D,master's degree,standard,none,91,86,89
male,group E,some high school,free/reduced,completed,71,65,61
male,group E,some college,free/reduced,none,50,43,40
male,group B,high school,standard,completed,84,87,83
male,group D,high school,free/reduced,none,75,72,72
male,group D,some college,standard,none,57,54,49
male,group D,some high school,standard,none,74,62,56
female,group C,some high school,free/reduced,none,53,75,69
female,group B,high school,standard,none,46,47,47
male,group D,master's degree,standard,none,95,93,94
female,group D,high school,free/reduced,none,63,82,75
female,group B,associate's degree,standard,none,67,69,75
female,group D,high school,free/reduced,none,48,51,49
female,group B,some college,free/reduced,completed,48,60,61
male,group A,associate's degree,standard,none,35,39,39
female,group C,some college,standard,completed,63,74,78
male,group C,master's degree,standard,completed,93,82,85
female,group C,bachelor's degree,standard,none,78,86,87
male,group D,some college,standard,none,80,72,73
female,group C,associate's degree,standard,completed,75,91,92
male,group D,some college,free/reduced,completed,61,69,69
male,group B,bachelor's degree,standard,none,100,88,90
male,group C,some high school,standard,none,73,70,67
female,group D,bachelor's degree,standard,completed,93,99,100
male,group C,some college,standard,none,89,79,76
male,group B,associate's degree,free/reduced,none,66,66,62
male,group C,high school,standard,none,53,46,39
male,group B,associate's degree,free/reduced,none,51,52,47
male,group B,bachelor's degree,standard,none,91,80,83
male,group A,high school,standard,none,42,42,44
female,group B,high school,standard,completed,89,90,94
male,group D,associate's degree,standard,none,83,63,66
male,group C,some college,free/reduced,completed,74,73,76
male,group B,high school,standard,none,70,74,67
female,group B,high school,standard,none,74,87,86
female,group D,bachelor's degree,standard,completed,89,94,96
female,group E,high school,standard,none,62,62,58
female,group D,some college,standard,none,78,92,91
